nuts,August Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2041 - 2070)
SE31,0.8731173917651176
SE32,0.9288838575283687
SE33,1.002126762767633
SI03,0.5265843220055103
SI04,0.6070833797256152
SK01,0.7390483299891154
SK02,0.6551053579896688
SK03,0.6682441098615527
SK04,0.6379769808302324
TR10,0.2683436301847299
TR21,0.1226934405664603
UKE4,0.7329065814614296
UKF1,0.5694488064696391
UKF2,0.5790947263439497
UKF3,0.6511338190486033
UKG1,0.6476348346720139
UKG2,0.6485096121827761
UKG3,0.5775566180547078
UKH1,0.4936091989899675
UKH2,0.6769363142549991
UKH3,0.5173585285743078
UKI3,0.6666666666666666
UKI4,0.6666666666666666
UKI5,0.7471733197569848
UKI6,0.71117179642121
UKI7,0.711559663216273
UKJ1,0.7161561292906602
UKJ2,0.602329671382904
UKJ3,0.6723620348920425
UKJ4,0.6216646663844585
NO09,0.7880084748069446
NO0A,1.1313646922508875
NO0B,0.8050451363126437
HR05,0.4664424866437912
HR06,0.47028191791226465
NO02,1.0961835296203692
NO06,1.1673365766803423
NO07,1.042019040385882
NO08,0.933023248364528
